#Jahr	Monat	Tag	Stunde	T_Mid	p_Mid	cor_p_Mid	Ns	I_Mid	L_Mid	v_Mid	R_Mid	N	NNO	NO	ONO	O	OSO	SO	SSO	S	SSW	SW	WSW	W	WNW	NW	NNW	
2023     01      03     10  7.7    998.9    1026.7    0.0    0.0    76.5    2.6    199.5    32  55  32  29  35  10  15  6   42  234 125 33  19  30  23  0   
2023     01      03     11  8.4    998.9    1026.7    0.0    0.0    73.5    3.8    205.9    29  40  14  14  17  12  10  8   104 332 86  12  11  19  13  0   
2023     01      03     12  8.6    998.7    1026.5    0.0    0.0    72.0    4.0    209.0    24  35  13  11  9   18  6   15  122 333 58  14  15  30  18  0   
2023     01      03     13  8.4    998.3    1026.1    0.0    0.0    69.8    4.5    205.7    25  39  13  6   15  25  8   13  101 358 35  20  10  33  20  0   
2023     01      03     14  8.5    998.1    1025.9    0.0    0.0    68.3    4.0    205.9    32  36  12  15  18  19  14  13  85  330 78  18  10  24  16  0   
2023     01      03     15  8.5    998.0    1025.8    0.0    0.0    68.1    3.6    207.8    31  43  17  20  18  19  13  6   81  303 79  17  21  34  19  0   
2023     01      03     16  7.9    998.0    1025.7    0.0    0.0    69.4    2.9    201.1    32  52  20  28  22  23  16  10  80  228 110 26  22  33  19  0   
2023     01      03     17  7.5    997.9    1025.6    0.0    0.0    70.3    2.9    203.7    26  43  22  34  33  22  14  5   65  215 134 32  20  31  25  0   
2023     01      03     18  7.3    997.7    1025.4    0.0    0.0    70.3    3.1    210.8    27  47  19  29  21  13  7   5   43  242 151 36  15  39  27  0   
2023     01      03     19  7.4    997.3    1025.0    0.0    0.0    70.4    3.4    204.3    30  58  23  29  15  15  8   6   38  252 138 36  20  35  17  0   
2023     01      03     20  7.5    996.6    1024.3    0.0    0.0    70.3    3.6    214.3    32  53  20  21  22  19  6   5   46  269 117 23  20  30  38  0   
2023     01      03     21  7.5    996.2    1023.9    0.0    0.0    70.5    3.4    195.9    36  59  39  34  29  27  5   1   46  213 121 31  24  25  31  0   
2023     01      03     22  7.7    995.6    1023.3    0.0    0.0    70.5    3.4    195.3    38  67  49  42  24  14  8   5   24  215 109 19  25  44  38  0   
